Index,Abstract,Class
726,"The process of centrifugally casting an article such as a tire or the like from a curable or hardenable liquid polymeric material, which process includes the steps of selecting a mold and placing a core within the mold which core is hollow and/or is readily deformable under pressure but which has sufficient memory to resume its original position when the pressure is removed. The article being formed is formed between the core and the mold. The space between the core and the mold is filled with the curable liquid material of which the article is to be formed and the hollow core is also filled with a liquid material. The liquid material in the hollow core, the material from which the core is constructed and the curable liquid material all have about the same specific gravity. The mold and core are rotated to centrifugally cast the article which is formed of the curable liquid material. The deformable core permits easy removal from the completed article and the matching of the specific gravities as aforementioned keeps the deformable core from distorting during the centrifugal casting operation. The order of introducing the liquid material into the core, introducing the curable liquid into the space between the mold and core and rotation of the mold and core can be varied within the limits as set forth in the following description. Variations in the structure for accomplishing the principle of matching specific gravities are illustrated and described.",Sociology
109,We present a QCD analysis of the neutral current neutrino-nucleus interaction at the small-x region using the color dipole formalism. This phenomenological approach is quite successful in describing experimental results in deep inelastic ep scattering and charged current neutrino-nucleus interactions at high energies. We present theoretical predictions for the relevant structure functions and the corresponding implications for the total NC neutrino cross section.,Astronomy
848,"While all human associations are entered into because of some ulterior interests, there is in all of them a residue of pure sociability or association for its own sake. Sociability it the art or play form of association, related to the content and purposes of association in the same way as art is related to reality. While sociable interaction centers upon persons, it can occur only if the more serious purposes of the individual are kept out, so that it is an interaction not of complete but of symbolic and equal personalities. While it is a departure from reality, there is no deceit in it unless one of the persons involved tries to exploit it.",Sociology
541,"Social behavior is ordinarily treated as being under conscious (if not always thoughtful) control. However, considerable evidence now supports the view that social behavior often operates in an implicit or unconscious fashion. The identifying feature of implicit cognition is that past experience influences judgment in a fashion not introspectively known by the actor. The present conclusion--that attitudes, self-esteem, and stereotypes have important implicit modes of operation--extends both the construct validity and predictive usefulness of these major theoretical constructs of social psychology. Methodologically, this review calls for increased use of indirect measures--which are imperative in studies of implicit cognition. The theorized ordinariness of implicit stereotyping is consistent with recent findings of discrimination by people who explicitly disavow prejudice. The finding that implicit cognitive effects are often reduced by focusing judges' attention on their judgment task provides a basis for evaluating applications (such as affirmative action) aimed at reducing such unintended discrimination.",Psychology
65,"Phenomena currently attributed to Dark Energy (DE) and Dark Matter (DM) are merely a result of the interplay between gravitational energy density, generated by the contraction of space by matter, and the energy density of the Cosmological Microwave Background (CMB), which causes space dilation. In the universe, globally, the gravitational energy density equals the CMB energy density. This leads to the derivation of the Hubble parameter, H, as a function of the scale factor, a, the time, t, the redshift, z, and to the calculation of its present value. It also leads to a new understanding of the cosmological redshift and the Euclidian nature of the universe. From H(t) we conclude that the time derivative of a is constant. This is in contrast to the consensus of the last decade. This result is supported by the fit of our theoretically derived flux from supernovae (SN) as a function of z, with observation. This flux is derived based on our H(z) that determines DL, the Luminosity Distance. We obtain this fit without any free parameters, whereas in current cosmology this fit is obtained by using the dependent free parameters Omega_M and Omega_Lambda.",Astronomy
197,"The properties of the early-type binary Cyg OB2 #5 have been debated for many years and spectroscopic and photometric investigations yielded conflicting results. We have attempted to constrain the physical properties of the binary by collecting new optical and X-ray observations. We find that the orbital period of the system slowly changes though we are unable to discriminate between several possible explanations of this trend. The best fit solution of the continuum light curve reveals a contact configuration with the secondary star being significantly brighter and hotter on its leading side facing the primary. The mean temperature of the secondary star turns out to be only slightly lower than that of the primary, whilst the bolometric luminosity ratio is found to be 3.1. The solution of the light curve yields a distance of 925 +/- 25 pc much lower than the usually assumed distance of the Cyg OB2 association. Whilst we confirm the existence of episodes of higher X-ray fluxes, the data reveal no phase-locked modulation with the 6.6 day period of the eclipsing binary nor any clear relation between the X-ray flux and the 6.7 yr radio cycle. The bright region of the secondary star is probably heated by energy transfer in a common envelope in this contact binary system as well as by the collision with the primary's wind. The existence of a common photosphere probably also explains the odd mass-luminosity relation of the stars in this system. Most of the X-ray, non-thermal radio, and possibly gamma-ray emission of Cyg OB2 #5 is likely to arise from the interaction of the combined wind of the eclipsing binary with at least one additional star of this multiple system.",Astronomy
683,"Within the last few decades an amplified interest in emotions can be noticed. This new interest occurs both in the neurosciences as well as in philosophy, anthropology and also Anglo-American sociology. Treatises on human feelings can be found in the sociological classics, but then came an extensive exclusion of this topic (until the 1970s and 1980s). Discussing the question of why emotions were neglected for such a long time in sociology, one can concentrate either on the 'Zeitgeist' or on the internal structure of the scientific system as reasons for the disregard and rediscovery of a topic. After a short overview of this debate and a first outline of the subject area the academic field of the 'sociology of emotions' is described further. Especially in the AngloAmerican sociology a lot of empirical and theoretical works on different emotions can be found now. Two main directions can be distinguished within the sociology of emotions: One approach is aimed at analyzing the shaping of emotions by the social. The other approach is aimed at analyzing the structuring influence of emotions on social phenomena. The article closes with some examples for a synthesis of both approaches and a short introduction into methodological questions concerning empirical research in the field of sociology of emotions",Sociology
584,"The article reviews the book “Applied Psychology in Personnel Management,” by Wayne Cascio.",Psychology
696,"This ar ticle argues that in an age of knowing capitalism, sociologists have not adequately thought about the challenges posed to their expertise by the proliferation of `social' transactional data which are now routinely collected, processed and analysed by a wide variety of private and public institutions. Drawing on British examples, we argue that whereas over the past 40 years sociologists championed innovative methodological resources, notably the sample survey and the in-depth interviews, which reasonably allowed them to claim distinctive expertise to access the `social' in powerful ways, such claims are now much less secure. We argue that both the sample survey and the in-depth interview are increasingly dated research methods, which are unlikely to provide a robust base for the jurisdiction of empirical sociologists in coming decades. We conclude by speculating how sociology might respond to this coming crisis through taking up new interests in the `politics of method'.",Sociology
704,"‘Second age of modernity’ is a magical password that is meant to open the doors to new conceptual landscapes. The whole world of nation sovereignty is fading away – including the ‘container theory of society’ on which most of the sociology of the first age of modernity is based upon. In this article I propose a distinction between ‘simple globalization’ and ‘reflexive cosmopolitization’. In the paradigm of the first age of modernity, simple globalization is interpreted within the territorial compass of state and politics, society and culture. This involves an additive, not substitutive, conception of globalization as indicated for example by ‘interconnectedness’. In the paradigm of the second age of modernity globalization changes not only the relations between and beyond national states and societies, but also the inner quality of the social and political itself which is indicated by more or less reflexive cosmopolitization as an institutionalized learning process – and its enemies.",Sociology
